,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
RGS12,9.810929105,4.1318719,69.97441014,11.02113,111.3966501,0.3973908
ATP1A3,0.643406316,5.18506145,0,23.46196057,35.16654102,0.918940629
PLCB1,98.55734591,19.0460492,0,103.2464871,257.113913,7.719380371
KCNC2,4.765542702,1.9121229,0.103412786,77.65161643,195.8568182,1.668488943
GPI,262.0952258,71.92712135,230.5733373,473.4084701,608.942875,66.3095902
CCK,71.30621519,70.01214755,0,756.7269019,1890.06607,65.27819583
CNR1,5.090306719,48.84877235,0.076530214,158.661796,703.7145053,10.3826588
ELAVL2,14.14943486,9.4747855,0,145.7336594,292.8925572,10.44199554
FGF14,17.95282986,47.5454436,0,307.9760735,834.4715824,20.10921711
DLX1,5.126544649,21.8474601,0,8.506028304,148.9191511,9.2290338
SULT4A1,0.514647825,18.78385155,0,454.0865534,303.2277822,1.044587457
ATPIF1,209.1313211,195.1427196,78.16621836,906.7973469,966.9397219,164.6989274
FAM65B,20.48795493,7.5131474,0,80.13163278,136.1457318,0.829022086
MAGI1,33.73180365,7.47709345,0.298071857,95.56735317,178.7740345,16.51779257
CIT,3.438801211,12.92475485,0,140.0966413,181.5611667,17.71033771
RAB3C,1.744082579,4.27963245,0,40.54442543,61.9941477,1.189928114
RAB3A,7.90811493,0.21856345,2.049646786,125.3790872,130.8110673,2.493380229
PTPRN2,31.90147877,3.9414356,11.66364379,59.02709252,125.3933839,4.498294943
INA,12.32617754,30.7637447,0,225.7989597,380.286821,28.00496966
PLEKHA5,20.03388356,22.4538565,6.752827571,106.8340673,137.050286,14.61099766
SLC1A2,9973.833157,156.6200536,10.38992964,480.4625158,154.4410949,47.64864766
GPR98,954.403453,0.1523024,0.1657815,39.45887013,7.582476143,1.307357
GJA1,4937.400538,190.7816675,0.267046929,104.8796074,56.14675964,13.0327384
SLC1A3,6654.553884,252.929242,1945.69066,258.5061039,61.91240917,265.8741663
ATP1A2,3915.006036,1347.383678,3.247693643,91.479986,65.55278955,22.10397577
FGFR3,432.8337597,2.5747535,0,8.927442217,10.6569525,0.394395086
SLCO1C1,1835.832525,98.52132275,120.1889839,18.00482091,23.1988285,0.793318286
AGT,2634.840476,294.9040603,8.553575571,119.8704933,34.33822481,29.91719406
SLC4A4,687.2746214,25.3498864,0,30.898576,35.72864747,37.88729091
SPARCL1,16638.25712,3491.88172,163.7546668,2965.564585,1921.659455,139.7539114
ATP1B2,5397.51277,356.7198441,150.9113714,561.0021361,719.1165231,58.72006977
LRRC16A,1395.498873,57.22442335,0,229.2198251,156.2996031,2.752766943
GPR37L1,672.5633694,5.05459575,9.993705214,19.61756378,15.21480911,25.1979692
F3,4763.120322,1881.508872,1.209342143,96.29258422,53.19925695,11.95715809
BMPR1B,2137.754879,3.8250216,0.208660571,84.30488187,27.76379761,44.28874566
ACSBG1,274.6220096,0,0,2.99112,0.46736481,1.112993571
SLC25A18,909.8118877,0,0,29.25546091,23.05792439,4.928751943
DIO2,991.097386,0.0755045,0.741299071,35.24113126,40.0040075,30.02404709
STON2,1239.161786,0.3883598,0.419913214,18.42247126,20.65196119,1.717770257
EZR,2309.506813,518.9416427,478.9695982,64.97244426,45.30821101,29.62363537
CPE,6338.228414,1025.963789,30.12608857,1259.388675,890.5732641,93.65439914
SDC4,813.8314448,28.31501765,0.252021714,5.152212391,4.24581161,0.250172457
NHSL1,826.1507364,97.82144635,308.89499,15.71935748,11.93845214,1.285752
PPAP2B,1197.728819,121.6518811,243.305764,53.45900591,18.2106591,70.53035914
EDNRB,1401.739036,5.24559175,19.88967964,19.62366091,64.33330724,13.10469877
GLUD1,2399.536347,158.5091124,162.2918118,156.4906164,127.694247,262.6441785
SFXN5,149.4100255,3.9029907,0,4.068346783,4.252823419,0.379192286
MLC1,181.0488871,0.1665792,0,1.17628087,1.289765857,0
RANBP3L,1296.713321,520.447889,0,64.56177587,39.3495258,0.663723371
ATP13A4,770.717116,0,0,33.65928965,26.52278564,2.880472971
RYR3,596.138791,3.28871505,5.630280714,37.47923957,116.6914161,0.311259629
MGST1,416.6044616,23.11369585,0,2.760867435,2.033035762,0.760769914
CLDN10,1717.758834,2.93108045,12.85892157,68.66224748,83.43444399,0.468732314
NTRK2,916.8444313,67.61047615,0.092447786,124.6684798,155.0211594,36.7129374
SLC7A11,760.5374583,388.4878889,0.141486643,35.41798935,4.2849572,4.757340229
SLC15A2,761.8146416,2.8460709,34.43657843,26.98962,13.3862126,1.400758657
MYO10,422.6511975,55.1451674,60.50277836,8.459873652,12.4725626,56.27504389
TTYH1,121.4671341,3.2378536,1.3042095,6.936921739,2.727028067,14.5313496
PREX2,273.9147345,52.03320255,0,1.288516087,16.87102152,19.7269824
TPD52L1,344.5084325,6.23578635,0,23.2801167,21.39817658,0.962935314
ID4,1115.724532,69.18407495,0.669220714,34.52552409,47.431285,21.00100526
COL5A3,57.02129209,0.0861239,0,3.407542609,0.612077152,2.581847086
PSD2,920.973292,1.0954926,0,65.10925065,30.05531902,15.70825234
NCAN,572.6104231,2.99753165,0.300059071,98.01035678,41.96544949,0
SLC39A12,961.182094,0.08924565,61.20976571,10.8655963,10.26464714,0.139654714
CST3,681.1006061,138.5118996,43.91874093,50.98153426,33.17693648,2.082303714
GLUL,3939.461806,837.6003199,444.2584709,185.1840783,122.9574916,2553.188697
GJB6,1823.100343,12.6992785,0.880391214,105.7778668,56.3988867,0.076967514
PRODH,136.5743307,0.0815995,0,16.40413648,2.111506971,0.229267371
GPR56,272.8179628,6.28980795,64.19483264,22.0767677,21.96494825,1.069577314
PLP1,277.3540209,3028.666932,414.7967349,435.0844985,205.8788728,34538.89381
ERMN,64.88903465,282.6976539,26.97765586,36.93552157,14.11483966,4707.490377
CNP,222.1122279,240.1478301,249.3677938,139.6644145,171.0672338,5783.148236
TF,18.59415,276.5398228,0,72.63835009,11.8279423,2422.924243
SCD,568.6290282,258.8276967,120.4650779,108.7327662,104.3832587,4113.282449
CLDND1,339.5258372,932.2108215,385.0392301,331.8625784,158.6242009,7894.236169
TMEM144,123.2602495,195.2493034,287.5460138,64.90586287,35.1289245,3654.186461
FAM107B,2.582715088,49.5675192,46.46192093,3.48036987,6.06911419,951.6668087
UGT8,1.054975965,56.5406035,0,30.837109,4.91121341,1149.260388
PIP4K2A,485.4896963,441.7059495,540.0805231,191.6776061,239.5596453,11796.99919
CLDN11,0.60116893,103.6359166,6.897206143,39.33148239,21.28755936,1914.00449
ENPP2,2.296356088,315.5708012,1.064497857,40.31929439,55.9603215,1868.635573
ANLN,1.70990393,57.39860995,0,3.974793,17.83506191,864.8313835
SLAIN1,82.80049095,165.4433788,110.7176275,54.26879996,79.92661283,2343.936565
ST18,3.925693,30.92265045,1.185434714,4.846373174,2.413483219,197.2698038
OPALIN,6.622649807,327.8832057,0.590049357,42.5253077,19.26493289,3253.083954
SLC12A2,78.46802477,566.1841021,0.718442643,90.17094804,101.8778234,1353.062144
RNASE1,0,1706.538356,282.2370162,66.87916504,19.0814203,4031.771587
BCAS1,5.608179737,38.8285609,2.917506,17.23774326,42.17455412,360.6461088
MOBP,9.363187246,51.92186825,0,1.993204391,14.00852091,443.9538548
GPR37,55.20945725,344.8598733,0,34.36280552,42.45037339,935.3819833
CNDP1,13.88065602,74.11985935,0,9.347218696,10.74967537,1356.5616
MBP,25.21669065,300.7449597,122.0311629,59.16685296,96.68840309,1769.49857
SOX2-OT,87.59117739,81.70989865,7.2768285,53.90257791,94.9934055,933.266881
KLK6,0.050657719,37.0532831,1.061680071,0.67899787,1.353208867,1341.45177
CRYAB,1237.344537,1032.982246,25.8571475,469.1150683,285.6540461,5039.832999
QDPR,61.62298042,86.18036365,177.3282334,353.831476,182.6701048,3403.838581
CD9,68.23421135,607.0192983,307.4357838,20.15190248,20.87583491,1547.311227
COL4A5,34.21686444,27.16761375,0,2.518712652,4.9613254,247.7876416
DOCK5,37.28812981,71.8987769,0,1.728087087,1.513629029,421.1753536
