,Astrocyte,Endothelial,Microglia,Excitatory,Inhibitory,Oligo
INTS6,25.95052665,194.5948464,2.267776643,57.07526726,27.60830838,65.68822346
IQGAP1,137.0782258,253.1337018,70.87655193,31.49523843,47.6806726,189.4391199
GSTP1,258.0299692,1252.436617,346.7306737,133.3482748,236.1458112,273.1793759
RND3,17.56718195,1782.120931,167.0888456,34.46734204,371.1653333,0.088508886
DCN,88.73563232,2152.033007,146.4039558,28.73351443,121.1666527,8.731016886
ATF4,151.2802161,1331.838787,514.6680486,142.3962521,159.367613,336.8070804
RPS29,23.34427449,86.85805435,67.21957886,41.05384078,36.70484361,19.18471869
IFITM2,144.8334287,699.9420841,38.01504514,0,8.472821305,0
TPM1,24.77171253,339.0303706,0,41.5826867,62.29148402,2.706228629
ALDH1L1,83.97612879,0,0.144151643,0.169941826,0.194624133,0.228113057
EYA1,74.10801333,4.13156935,0,0,27.89627895,1.273675143
NWD1,46.27140793,0.3053334,0,7.01468287,0.62884541,0.2777894
HGF,32.35965046,0.12913425,10.74100036,0.51290513,7.519811438,0.025155314
GFAP,359.27818,1.50116395,0.203285643,4.498446565,1.226375924,0.351933543
ITGB4,44.94736319,0,0,0,1.022787829,0.030306686
PPP1R3C,922.6647336,443.9501153,0,15.01587778,46.421438,24.75998754
RNF43,26.3219774,4.7784667,0,0.180067391,2.500088352,0
SLC14A1,184.5276751,4.801006,0,2.449339913,2.244061771,0.266744371
COL16A1,58.06258598,2.1370439,0,34.11215578,22.08080804,18.1109634
ABO,6.218639947,1.6313982,0,0.491786174,0.139017752,0.099915286
ABCC9,104.2095892,42.9260366,0,2.586767565,0.199204867,0.130300914
GABRG1,385.9431635,2.70566785,0,157.2787231,50.81255121,0.219331886
ITGA7,163.6228481,3.12349685,0,0.745375696,12.42520274,0.035369257
CLTCL1,27.23042886,0.1605137,0,0.470081435,12.48510024,2.478304629
DCHS2,39.24736763,0.2633827,0,0.043292826,7.1291292,0.461179
RGS9,26.1340737,0.46366025,0,0.638322087,3.409834933,0.064951143
SLC30A10,142.9736398,1.87331635,0,0.224454652,17.62120056,0
GRM3,894.1785094,14.72444865,0,124.6520307,33.49568653,471.7760927
NLGN4Y,11.72048484,42.59494575,1.149655,4.09283187,27.733971,1.753455257
JAG1,12.16876319,224.0072943,92.63918507,21.29157926,45.69231465,2.389791514
KANK2,2.425211684,32.6823883,13.28150593,4.918414087,19.9228215,3.428528571
NR4A2,132.428347,737.9620843,614.4210712,217.3396339,3.710209257,257.0374881
RRBP1,9.078744298,46.6455369,33.40699464,12.92954065,3.354889971,34.56347511
OLFML2B,0,62.4048085,32.96775029,7.302124261,0.078598248,16.86521229
HPGD,0.023234754,3.90770785,0.223764929,0,1.2098286,0
DSP,0.089172263,60.5136896,0,0.530746261,12.41092094,0.041192171
AOX1,0.015391316,79.10116735,0,0.07731387,7.014448419,1.963574457
ANKRD13A,3.092757386,78.68993735,0.975979929,16.53452478,52.34204136,64.2953928
PRRX1,0.853351474,104.8471075,0,0,1.847342619,0.477166686
ZFHX3,34.397701,126.6622585,100.4235422,7.494211304,11.10096714,16.11403634
FLT1,2.006661263,612.7077856,261.6193866,0.275245565,27.2307533,0.149554657
GNG11,14.84339811,322.3570934,0,0,2.506315943,0.044158571
PEAR1,0,112.6698111,0,0.080874,1.49248501,0
FERMT1,0.332188228,111.7273005,0,0,6.92274699,0.031694714
RCSD1,1.888805088,165.2120235,3.913497857,2.29238213,0.154164314,0.057102371
TGM2,0,156.3613618,0,0,0.126617571,0
EDN3,0,250.9579237,0,0.160466043,0.687489286,0
SDPR,0,1603.076232,0,0,0.136499152,0
FOXC1,0,175.9635171,0,0.171067217,0.882795619,0.049275286
IFI27,2.443594632,917.8853166,0,0.423020826,0.336956686,0
ESAM,0,74.1860734,0,0.143819478,0.447432362,0.139320543
GPR116,0.033254439,339.4815859,0,12.85078126,0.334233333,0
ANXA1,0,678.941324,0,35.7145747,1.796923105,0.372892371
MYH11,0.274238158,519.8412095,24.29105071,2.388354435,9.317718,7.474996371
ITGA1,0,60.72807905,0.059939286,0,0.324958486,0.017586514
RGS5,17.348523,1756.753045,0.870051929,15.77252335,209.9156845,12.76197326
ZNF703,0.544833649,4.8442047,0,0,0.15397881,0
CCDC88C,13.83282918,35.15686985,0,1.717017739,1.227044419,0.014213171
ST8SIA4,19.87703354,15.5886101,304.3805283,3.088186087,39.74303251,0.149805629
KIAA0226L,50.59985325,0,92.522032,3.077231,11.35021359,1.7064204
CD14,0,0,1245.033292,8.236633043,18.6079886,0.104025
RGS10,0.079951807,0,1460.443814,2.003217609,15.89593941,0.822817943
C3AR1,0,0.31450245,5424.961472,0,2.369397552,0.929745171
ALOX5AP,0.074478912,0,4156.96884,0.673587304,9.776595476,1.751706543
HLA-DRA,0,4.6564263,1515.967454,7.00942913,25.66859297,0.459822971
BCL2A1,4.123938386,0,4277.222931,0,27.56000484,0.585661886
DHRS9,0.102908754,0.0668093,3330.213277,0.049887739,1.082813762,0
LCP1,3.260113596,8.5941366,1053.690249,0,3.179635648,2.718021457
LRRC25,0.04913986,0,0.584767429,0,0.212885162,0
INPP5D,14.81582689,7.56737505,94.78013486,0.126585435,1.069468486,0.237140343
RPS6KA1,0,0,51.65727629,0.072951522,2.0627732,1.302540029
SYK,0.031720035,0,110.2917499,0,1.350506495,0.112969943
PARVG,0,0.38029635,82.3316165,1.293618087,0.778517667,0
SLC7A7,1.201584351,0,475.2655117,3.528752,11.70618734,0.195988686
DOCK8,0.413038982,12.18278585,136.0006717,1.795113913,1.977936476,0.8339694
HCLS1,0.016625386,0,209.0444425,9.598362304,8.34334299,0.468702514
HMHA1,0.019772965,0,19.3214225,0.077205739,0.271359562,0.027183771
CTSC,5.254453491,0.31753165,116.8096968,4.890427478,3.755512952,0.212342771
IFI16,35.83192654,501.1716642,1254.588336,0.091632609,22.1173841,73.71110451
KYNU,0,0,57.26351814,0,0.670356029,0.639059057
ITGB2,0,0,42.09086993,1.054897913,0.367473124,0
TBXAS1,0,0,126.2388299,0,0.103154952,0.0938564
TYROBP,0,0,866.3503979,0,19.61446994,0.216307743
CD86,0,0,1068.685299,22.95627074,16.02856995,0.371886771
SIGLEC10,0.027456474,0,152.8156134,0,1.704901724,0.1551664
TRAF3IP3,0.238323737,0,12.01553543,1.15602687,3.11419001,0.022779943
RGS18,0,0,33.16622907,0,3.084344124,0.930698343
CYTL1,0,0,226.4209226,0,4.547857457,0.2119594
BLNK,0.448481386,0,890.7516984,4.949889043,6.326573343,3.290925286
DOCK2,0,0,25.9889065,0,0.333536171,0.116704514
SLC2A5,5.088164281,0.0848171,262.1856629,0,0.460487324,0.7728568
AOAH,0,0,199.8785537,0,11.32080967,0.652275343
ALOX5,0,0,48.99910086,0,8.289667371,0.106480943
RBM47,0.133455281,0,60.98687829,0,2.4626708,0.036534257
LAIR1,0.10357314,0,19.13876529,0,0.105527971,0.137678
BTK,0.047412,3.32340755,49.90262707,0.752588261,10.28826271,8.718935286
LGALS9,1.856567596,2.924801,4.277650071,0,2.774419752,0
CSF3R,0,0,116.690793,0.075741913,0.0427492,0.027119629
SUSD3,0,0,72.59718286,0,0.815336448,0
FCER1G,13.112726,0,2203.762892,0,37.96756828,1.017588857
LST1,0,0,0.655589714,0,0,0
FCGR2A,0.360752404,14.7142182,221.2456959,0,14.29099867,13.58118114
MYO1F,1.399403614,0,47.23954986,0.244657652,0.312209933,0
WDFY4,0,0,13.79770214,0.097469174,0.429944781,0.014328886
PLXDC2,5.67186507,2.5707201,90.86206936,4.987140261,7.336042981,11.5778028
ARHGAP15,0.71712614,0,363.7093884,44.3636927,5.194480371,2.804588543
GRN,44.81255491,17.2176394,257.419501,30.15449365,24.86107749,3.9768496
SASH3,0,0,21.04954436,0,0.4590656,0
RHBDF2,0.219837404,0,30.51788371,0.710811783,5.441192943,0
TRIM38,0,74.52293405,120.6845065,0,0.256610533,0.367055429
HLA-DPB1,0.448166509,0,291.7275168,7.188741174,7.058531162,8.739975657
FGD2,0,0,27.57078643,0.062771826,0.848798,0.096484286
PLD4,0,0,14.49138271,0,0.6372094,0
IRF5,0.133389105,0,49.3476795,1.312871174,2.768562457,0.039477743
PTAFR,0,0.3963308,417.7476366,0.103081826,1.379173924,0
UCP2,0.129139947,4.3735225,255.4856655,0,18.25556472,11.99087614
ANKRD44,46.44609947,21.1206195,585.7975648,30.73210052,88.69460973,125.5074818
CD33,0,0,12.77063057,0,0,0
ITGAM,2.777712474,0,245.4791777,0.426344087,1.806615057,0.075055686
TLR7,0.016255158,0,583.2382422,8.081900261,0.123880838,6.522055057
HLA-E,0,0.62646335,0.882529643,0,0.022313781,0.136038114
LILRB1,0,0,84.17074693,0,0.91507441,0.085438914
BIN2,0.036460456,0,5.090190214,0.098038739,0.186050952,0.575559
MS4A6A,0,0,54.9231415,0,0.137300876,0
SH3TC1,0.015477842,0,28.41377093,0,0.510162886,0
SAMSN1,0.196902825,0,1140.56914,0,8.553489829,0
LTBR,1.773836474,2.213122,6.293827643,0.071081,0.145286019,0.689073114
ATP8B4,0.027048439,0,45.141291,0.168668826,5.879124162,0.021911514
HCST,52.09235454,0,862.9767601,0,6.759960457,0
SIGLEC8,0,0,102.3379064,0,0.432883962,0
SLC1A5,0.361292702,62.47186555,84.26325421,0,1.101776848,0
IL16,0,6.7051949,58.35949657,2.90233513,5.263133971,0.031246686
CYTH4,0,0,6.970454571,0,2.248095352,1.858417543
FAM105A,0.144910877,95.1994002,672.1541875,4.995841043,14.22411064,0.193002971
HLA-DMA,0.088151772,0.36970235,43.371691,0,0,0
ADPGK,7.210923772,0.07852095,46.60621471,25.26290626,14.22506655,30.41773709
LPAR5,0,0,112.5035846,0,0.336952657,0
GMFG,0,33.3144178,224.3077138,0.46893687,4.384104295,0
MKNK1,33.38235377,33.0903909,197.9275462,175.7235195,44.73096302,0.850334371
HCK,4.948339474,10.2377206,68.94698586,0,2.298224143,0
CD300A,0,0,635.1370681,0,10.9839973,0
SCIN,0,0,768.2914346,0.306578087,2.06972699,0.215015714
ARHGDIB,0,96.62922095,1692.242658,0,2.391123952,2.240051
LAT2,0,11.92621915,168.1437154,9.572881565,3.07002079,0
MOB1A,30.40830682,18.2486725,226.905538,20.61373565,3.786821714,4.151927571
RUNX1,0.162965368,17.18165595,162.1811962,0,0.706332362,0.038641543
PTPN6,0,6.25277325,423.1526842,3.170039304,3.460572314,0
TM6SF1,0.07486886,55.2550739,469.1796933,125.9580656,103.9489685,2.836409314
ADAP2,0.755018684,7.36833865,273.3044649,2.438916043,3.182853619,1.098670343
SNX29,23.79046095,16.7522001,116.0547336,5.805900696,16.83048839,34.76199774
EBI3,0,0,82.98334114,0,19.47874173,0
APBB1IP,1.360090649,0,315.6892169,0,5.239871543,0
CARD9,0.105037088,0,0.344685643,0,0.151407448,0
FYB,0,0,527.8175527,0,0.284893581,5.908689143
DTX2,0.065553895,0,27.0982655,8.767541435,5.678286324,1.303494629
CAPG,102.2781492,0.274565,345.0888509,0,1.931647819,0
MAN2B1,16.15348696,3.03963315,31.77207279,0.03482113,8.200391629,8.232586714
TLR1,0.066894193,0,1112.810598,0,5.62348599,0.115873657
IRF8,0,21.5634033,233.5275174,0,1.159713371,1.088486429
NFATC2,0.766304158,5.2043177,5.222940357,0,0.787960286,0
FOLR2,0.089682789,0,1881.47135,0,3.867915924,0.138650971
SLC9A9,80.19894819,0,241.8216294,27.95324926,44.81906974,225.13283
NINJ1,71.32856732,37.8899779,77.39587029,11.97229396,11.69182631,3.1495156
CASP4,0.017489123,17.28402875,42.21259564,0,0,0.108877257
DEF6,0,0,13.42530193,0,0.520159076,0
PABPC1,147.9050709,506.2676261,1247.890102,114.856435,175.4256926,149.8136804
SCAMP2,34.45831853,24.3525537,76.60730579,4.689070391,16.20807575,18.4217956
SLC50A1,52.50804611,46.778247,273.2570119,27.58588317,16.49236845,21.95189526
RAC2,0.02821693,0,0.488624143,0.176186522,0.174074162,0
IRAK1,26.70583018,10.5243707,66.53087029,29.15230287,5.654740067,0.945395343
TLR2,0.214289439,0,231.4610659,0.293806261,29.98933363,0
LYZ,10.81511088,0.14206445,580.1954153,0.258100391,1.020872295,0
DISP1,6.737586053,3.9742209,30.09938843,5.191741826,18.07695581,0.391540314
HLA-DRB1,0,0,1727.973432,0,3.050574229,0.319269543
ABI3,0,0,8.495160571,0,0.016363419,0
PIK3R5,0.037279772,0,61.11921064,0,0.321101095,0.056619286
PIK3CG,0,0,185.0284436,0,0.509066343,0
GPRIN3,0,0,60.25847957,3.294604043,18.74617778,0
IFNGR1,172.0203791,1566.895725,2468.955703,49.71215452,245.4917996,432.0236971
RHOG,21.19443216,7.3583033,2206.121085,0,3.103238229,356.3980524
CLEC7A,0.302866684,0,2180.821835,0,1.236945952,1.045937943
USP15,88.37580935,122.2755112,415.6620374,154.4654149,135.7734145,70.75003237
SELPLG,0.035209158,0,229.7790014,0.701269957,1.767282914,0
IL10RA,0,0.70144855,161.9634936,2.256155217,0.134664152,0.020608686
CREB3L2,35.74657984,39.3452627,66.49297729,2.846661913,5.6460666,34.8904892
HLA-C,38.0021366,68.4340276,115.7158048,7.691368826,16.72756706,0.866342371
SKAP2,17.43511189,8.71037715,618.6754354,105.2194788,43.19991863,18.00410123
CX3CR1,0,40.98504475,1472.046213,0,11.40038649,4.6699394
MS4A4A,0,0,348.2578341,0.820740609,0.527219819,0
RNF135,1.916793509,9.33260835,144.3933385,5.328391913,0.361709419,1.981072457
STXBP2,0,0,122.2608094,0.120392609,0.083145781,0
GIMAP4,0.058633035,200.2411483,402.0980821,0,0.402332971,4.822383714
ARRDC5,0,0,223.9891635,0,0.206521552,0
TMEM39A,125.5585654,7.72248385,302.2104529,53.92555061,57.9336353,31.94932586
FGD4,105.1285529,93.02162215,303.2946624,32.08223274,45.36786373,39.4635214
NCKAP1L,0,0,227.7627734,1.41978813,0.577247781,0.189452543
VSIG4,0,0,2033.220778,0,22.38001055,1.253045543
MAP4K1,0.334499228,2.0183409,15.6984955,0.185590348,4.910841838,0.049630943
LY86,0,0,414.6047499,5.670571565,25.05084355,0.938713543
TNFSF8,0,0,1403.726164,0,4.42998199,0
UBA7,29.85876919,23.38002515,125.2890089,0,0.680414171,0.099136686
ANKRD22,0.095361439,0,868.0521371,69.30171052,0.208998038,0
TMEM106A,12.34657116,5.1068631,40.01768279,0,0.9576202,0.059417343
SYTL3,64.64438416,0,85.52131857,4.822415348,17.55235432,0.151243686
TCIRG1,0,6.3652425,50.67652921,0,1.199631457,0.0402858
MNDA,0,36.5644772,277.4032938,0,9.940605714,1.545933914
SAT1,14713.73399,9330.560949,17772.0968,1067.764742,1459.132199,2092.488844
DOK3,0,0.23831315,22.630592,0.08903687,3.62713621,0.036634086
ITPR2,471.8190302,15.18693235,880.3730666,20.19703083,23.25811356,20.68027543
SERPINB1,25.68372402,5.05121675,75.94809186,37.02488965,8.991050124,40.80203177
GNB4,110.080802,59.8770049,628.1203065,89.26979704,85.28050504,13.59413663
ARPC1B,4.772908105,2.69371625,59.42466664,31.47251926,7.687079686,0.108238829
TMEM176B,138.4728882,467.0099511,587.5871811,0,3.925301629,14.58804689
ABCC4,0.298405386,0.7338511,261.439952,0,3.573355781,1.1328402
TAL1,0,5.2221023,345.2695362,0,0.230956848,0.103149914
ARHGAP25,2.429843842,0,495.717513,14.11434374,2.306878552,0.0414794
CTTNBP2NL,13.23688642,161.6317712,529.8371122,18.97680713,25.92487889,21.94816606
FAM72A,0,1.3472253,2.289287429,1.300440348,0.505846876,0
ZNF812,18.55294342,0,465.4732934,3.651566739,0.637637571,0.179006514
KIAA0247,9.517923,161.1533541,294.8195176,39.42119352,55.93147187,62.41725503
GAL3ST4,0.338927807,0,51.40690043,9.862252261,3.975123886,1.551831057
TLR3,7.935900684,5.24366165,11.9956725,0,0.915116629,0.040126257
ADCY7,2.493601123,1.3432104,6.764959214,0.662630217,4.075434438,0.297190057
HPGDS,0,0,423.1043283,0.302321783,0.62068521,0
PILRA,1.662188912,30.7021603,307.8993327,4.530540826,9.453765352,2.952198514
TET2,41.4252256,12.80450135,124.8998096,18.2471433,37.71501825,47.87158326
FERMT3,0,7.7046137,10.91759014,0.724434826,4.510407648,0
TNFRSF1A,12.67387074,27.51212615,33.62402079,3.584763478,0.483682752,1.279693371
LPXN,114.0367655,109.641891,276.1107198,45.81418796,19.74689068,69.44885637
MIS18BP1,4.962342474,118.6368676,123.517834,11.14760774,8.6492452,0.679178571
RASAL3,0,0,6.653738714,0,0.094158467,0
DAPP1,0.026093404,0,36.81322071,0.40043013,0.178696848,0
LYN,7.953872351,44.42542005,593.7075609,0,2.55236479,0.093331771
MTHFD2,3.139922754,62.8949323,752.308883,1.648629391,14.36918466,30.40331451
RHOH,0.028774684,0,219.6670353,0,7.093153924,0
TFEC,0.105098263,0,13.46327014,4.630869087,0.193928743,0.760912829
APOBEC3G,0.515160123,0.52887215,2.656184,0,1.879558429,0.056935914
ACPP,0,0,6.337501571,0,0.206109229,0.128117143
CPVL,7.665577614,6.7805725,132.7401245,5.472298522,5.4066014,0.532686029
CLEC9A,0,42.6591547,62.71336271,0,0.524592067,0.702438714
ARHGAP30,1.995132263,0,3.074896643,0,0.161565124,0.0375146
PSMB8,0.042209912,0,4.083293571,0,0,0
LY96,18.31624019,180.7114018,303.6029996,20.113368,18.4940914,0
PLK3,0,79.6545666,171.2046756,0.301786174,5.749961248,5.6903838
PLCB2,0.016145965,0,22.13519743,0.944615043,0.716476171,0.045047
BHLHE41,217.6480059,11.64545175,455.4754934,64.11911526,103.6925296,120.969919
SP140L,0.042985561,9.98301075,47.61021686,0.124495391,1.861014381,0
RUNX2,0,0,237.9094972,4.796204609,34.83919892,0
MPEG1,0.192257737,0,192.8444724,0.13889987,0.152250486,0
HLA-DQA1,0,0,0.107939929,0,0,0.025412886
APOC1,69.25704126,0.20357575,266.6334194,0.608054783,7.171127981,0
SLC11A1,0.696050807,0,43.86295386,0,0.745305219,0.329771571
STK4,10.26555061,21.81517955,438.2898866,113.3713793,39.77230349,41.60287903
IER3,0.285993456,12.76397595,38.83441729,6.691860174,1.096518981,0
TSPO,22.65550523,53.3136052,112.3590952,0,8.779688333,82.88310866
TMEM156,0.763525298,12.9018652,132.8558601,0.451731087,1.267492657,0
CD69,0,0,655.5344299,0.225353565,3.058072533,0
GLIPR1,4.780062789,9.82837155,201.9619946,41.25125496,41.72333811,9.175601686
NLRP3,0.047368263,0,513.7229636,14.85494161,23.9972486,0
SIPA1,2.492879719,0,28.4527545,0,0.014169971,0.747089543
NPC2,195.307238,255.9319239,604.6197303,19.36592704,32.33536409,124.4516911
BACH1,9.894805965,144.2032245,479.6872942,76.90740026,30.15029824,71.98444574
CMTM7,5.017602351,0,37.37873,0,0.806523029,1.316051429
LHFPL2,8.994188211,5.3913478,562.3938006,4.518579304,3.655097495,0.740620943
MYO7A,0.014491561,0,11.32738986,10.46589909,0.724703448,0.022252343
DENND3,4.629313456,33.22478315,35.036589,7.278707304,2.048021029,0
MGAT4A,19.99002846,18.5821895,120.3288719,51.57012135,68.28666316,5.788490571
HK2,0.405651509,11.9610802,36.802206,0.18050913,0.534620876,19.24840817
TPP1,466.29388,141.3186084,497.0943991,288.9852478,31.98923063,91.74321857
VAMP8,0,50.1498872,460.0908125,0,2.033189076,0.396345714
CMTM3,0.641682386,83.16732515,190.6534228,0,1.478418086,1.1803022
CPM,40.53067151,171.8955217,544.8462068,9.787559087,8.332285562,110.3191282
CISH,0,0,0.242974571,0,0.086219829,0
PLAUR,4.338816474,125.5135401,287.6666716,0,7.816773533,1.988046457
EHD4,10.06485781,47.5292633,55.93227736,0,5.910599095,0
SORL1,155.8083199,1.05198675,365.5452687,153.7368065,51.31584161,25.74084969
SLC25A37,133.4788381,22.11353775,192.7285928,81.17479839,51.76374411,29.87483506
DENND1C,0,0,106.918348,1.269850609,0.09088739,0
FBP1,0,0,123.6109953,3.723880435,0.840817857,0
IKZF1,0,0,108.5579651,0,0.149903952,0
TMX1,316.0526817,342.0750391,466.3298476,24.45474174,146.6635223,143.8630858
PQLC3,71.19044663,12.7541193,85.17160807,0.668722913,73.80005263,31.46835409
ENO3,55.21087646,34.3662888,92.88561707,0,0.232108029,2.280378457
RREB1,14.95061868,2.8363611,16.60009364,0.035759435,0.593304876,0.024643
SPTLC2,24.19538368,6.7224964,464.9375374,20.91421504,15.01244218,175.0133034
SPNS3,0,0,1.9628395,0,0.371087857,0.068255
P2RX4,1.207910737,2.14930205,465.0621741,11.51850683,8.267630648,7.349408171
ADPRH,3.011134912,19.8989474,27.23509329,0,0.437229705,0.921414629
PLVAP,0.39412986,0,41.69715236,0,2.712696876,0
TMEM71,0,64.5897117,418.2572398,0.145720391,2.848040067,0.089881114
EMB,0,0,259.319436,15.10364248,13.37001974,0.033595743
HIST2H2BF,22.7634563,34.36874405,35.97214164,9.098767087,4.153533476,1.085055686
FPR1,0,0,503.5176397,1.274304217,13.18575827,0
ARAP1,44.18412307,0.89191545,56.54124057,16.56126078,9.368301705,8.121959143
CNPY3,251.9972688,26.4265059,527.3959195,73.1737397,58.48117525,8.899887457
POU2F2,0,0,34.4478375,3.185406565,5.90949559,3.561097771
DHRS3,311.4738631,39.9640666,542.4238924,0,13.33948154,0.075242057
PAG1,29.31320339,204.0449784,278.8851514,50.27758883,16.69599412,50.68516523
EMR2,0.269650719,3.22389905,133.5694974,1.219170391,10.87537751,25.10565074
TYMP,0.039827579,0,0.225210857,0,0.086095371,0
TRIM14,1.259527105,0,29.22436679,4.033123348,5.820145971,0
RIN3,0,0,1.026894429,0,0.671969229,0
TGFBR1,54.56967647,126.261409,611.6409457,17.38882435,40.93500607,124.4034795
IL4I1,0,0,57.34214321,0,3.62822581,0
NFKBIZ,83.45048737,554.0889946,747.1459031,21.61037596,13.87501443,115.6924116
PIK3AP1,0,0.98460325,207.0192551,0.078586043,0.212324286,0
CASS4,0.053888351,0.4220748,54.96632307,0,0.070649076,0.536174514
CORO1A,0.028606439,5.34778275,40.160505,12.20817,6.90874241,0.9095384
RIN2,854.8648841,485.6765772,3448.002931,26.57686661,217.3892305,247.5648896
MYO9B,1.804577175,5.65272745,53.07172729,4.664005261,7.777864619,33.3250568
PTPRE,35.03258739,15.86783355,622.4725122,59.58183426,163.2892854,51.48999309
AKNA,0.706269895,0.0406593,56.69306343,2.020641739,4.024634381,2.997905343
CLECL1,0,0,1777.565353,0,0,0.622284829
CASP10,0,17.6221575,57.99718379,0,0.44577179,0
PTPRJ,20.93495958,5.20293435,68.78236436,27.84800139,18.27539126,37.55501703
GLDN,28.93611247,110.5067603,2498.916652,122.6401143,46.25827539,1105.187478
KBTBD12,2.217058667,0,14.11207136,7.734922783,6.869050781,1.184995771
CASP1,2.011597842,24.8298811,344.6204546,0,0.410417076,2.951827886
SHMT1,7.21626886,23.99299075,41.17985343,0,25.58414714,8.806569714
ACY3,0,0,103.1655636,0,7.455377114,0
NPL,91.34169389,3.2162358,323.6536837,6.44793987,16.18851544,34.633164
ABCB4,0.022939684,1.93937605,66.59489979,0.552569391,2.798127124,0.0317562
MB21D1,0,0,80.61648014,0,0,0
RAB20,0.066116018,0,16.17912829,0,0.407596133,0
ZNF562,127.5498484,6.06015425,281.6494592,56.73733617,61.36165829,84.32631089
WNT5A,3.52460486,0,81.23652514,1.573455913,64.26600557,0.942711143
MAML3,0.397130158,0.8911868,43.637726,1.338794435,8.547873638,1.216555514
PIGO,11.03788972,0.63755655,97.38247514,30.47426552,7.67613279,45.08522457
HAMP,0,0,45.53306793,1.227868087,0.04339819,0
SOAT1,39.20727135,55.5210144,698.4802375,24.77335783,34.49288297,11.12309609
CLEC2B,0,322.7182407,436.5250855,0,8.666604,0
HAUS8,1.877783175,0.1023466,26.04879107,3.167363435,7.204978171,2.070836971
LCP2,0.022854561,0.7831333,354.9500788,0,32.39783383,0.023489429
N4BP2,14.13932235,10.02679645,134.7238109,57.78490226,113.0572126,1.255084943
FMN1,0.013431421,0,28.12856714,6.156544217,6.499425686,0.035446029
TREML1,0,0,10.01102907,0,0.346355876,0
CYBA,0,0,11.58642386,0,0.34058579,0
BATF3,0,0,183.6653309,10.45539091,0.191214581,0
IRAK3,0.572610193,83.37186155,257.9226866,0.768280174,3.565007171,0.039222543
LAP3,275.8844578,336.6151185,411.9614911,69.72310113,61.74779414,274.7470969
FAM46A,40.56708207,294.2156781,1024.457191,9.010284609,92.13170209,5.189883371
ADAMTSL4,0.769247333,21.04873745,60.84746621,0,0.103478019,8.835963457
MAFB,22.87877093,47.23611895,700.4410165,33.33582961,106.9864061,5.998070686
PDPN,13.42365267,0,332.9981255,12.46868691,27.93280309,0
STK10,0.221912439,27.0307492,121.3201475,1.170271522,6.375128619,1.566965629
RAB39A,0,0,219.6327759,0,3.074956886,0
VMP1,67.67192507,702.13916,1047.984591,92.64770878,179.1424935,112.1482045
POGLUT1,121.2100731,37.4687489,235.0130508,117.4715684,131.0278185,153.0211058
BNIP2,37.77160018,76.67677,375.7967156,6.642951609,20.07432999,48.33688291
PGM2,56.44395425,62.92410365,155.2369812,20.7266647,29.10270984,0.153313943
MR1,43.29424123,12.691869,92.57744657,0.201127217,2.478133381,0.022948543
KCNN4,0,0,15.25253079,0,2.933879962,0.041016857
ZNF90,0,0,0.447099929,0.379532696,0.264812514,0.112515886
TEFM,20.79313405,136.1384617,206.6001542,40.44961891,53.70381755,81.27903666
SFMBT2,69.22259916,12.03508395,167.4871824,79.50610283,14.36603708,7.196514714
MS4A14,0,0,772.644739,0,0.724530038,0
EML4,142.4511743,289.9521306,351.4715436,69.62242209,80.26228112,47.26747514
GIMAP2,1.718406421,0,27.81031743,0,0.54748101,0
CD300C,0,0,482.5404865,8.814074739,9.859979257,0
PRDM1,3.697957667,211.6332837,339.5252963,4.581066,32.42906948,0.064183771
CHCHD7,2.565137632,22.7007908,263.0251676,11.89708926,30.0969763,4.984165086
PTBP3,40.35962805,27.12690105,104.9339211,58.05992878,64.85444307,8.288907857
SLC2A9,0.519793807,2.90493005,39.81285479,1.181089217,0.62050279,0.034549457
RCBTB2,61.88748419,2.4760389,538.0359067,128.4406682,28.96848435,85.23951866
VENTX,0.039225246,0,9.308236429,0,0.467334638,0.7861294
LIPA,172.7538228,74.55350585,1718.816864,69.70416278,26.8838095,937.9240351
RPS19,74.90738011,395.463118,771.3262623,121.513715,160.591807,119.4055178
CH25H,67.43508205,1414.536125,4973.818938,83.09515204,9.98455679,6.8529116
CYSLTR1,0,50.13564175,54.13633936,0,1.38445559,0.114413857
DOCK11,17.48053446,28.16955275,108.2008829,15.5949013,103.893848,25.04591849
PTPN7,2.472927772,0,4.004800786,0,0.711563657,0
CYTIP,0,0,79.75419171,0,0.227981657,0
CD274,1.433209614,10.8736538,31.68419057,0.43742,9.897228543,0.8571274
SH2B3,42.22197842,9.9981977,1295.92869,56.61600043,28.40401387,35.82380577
FCAR,0,0.4855907,38.71216957,0.265288087,0.7814808,0.800033086
ACCS,12.05429675,0,13.6446105,0.076571304,2.263263895,5.0696436
FPR3,0,1.03991525,43.75730779,0.230231348,0.194356267,0
HLA-DRB5,0,0,5.212444786,0,0.052685314,0
MED12L,74.30329574,0.25638335,279.5678962,30.63994887,40.52713188,3.890643629
GDAP2,53.89918753,9.447292,131.9029399,35.4510977,22.0241797,46.65177217
FAM175A,10.05385216,1.1425562,209.2888613,9.455575652,15.0268212,14.96061263
GIMAP8,0.027073754,24.4888742,185.4303354,0,0.316029476,0
PSTPIP2,1.462064175,0.86688715,8.139883643,0,0.590300448,0
TNFRSF12A,1.895180298,30.74991625,117.7909361,0,0,0.263514371
FHOD1,1.396936193,0.4167875,17.96950464,1.684885522,0.285742638,0.156232771
